table_name,column_name,data_type,is_nullable,column_default
audit_logs,id,uuid,NO,gen_random_uuid()
audit_logs,table_name,character varying,NO,
audit_logs,record_id,uuid,NO,
audit_logs,action,character varying,NO,
audit_logs,old_data,jsonb,YES,
audit_logs,new_data,jsonb,YES,
audit_logs,user_id,uuid,YES,
audit_logs,ip_address,inet,YES,
audit_logs,user_agent,text,YES,
audit_logs,created_at,timestamp with time zone,YES,now()
backup_businesses,id,uuid,YES,
backup_businesses,name,character varying,YES,
backup_businesses,description,text,YES,
backup_businesses,short_description,text,YES,
backup_businesses,logo_url,text,YES,
backup_businesses,contact_website,text,YES,
backup_businesses,contact_email,character varying,YES,
backup_businesses,contact_phone,character varying,YES,
backup_businesses,address,text,YES,
backup_businesses,country,character varying,YES,
backup_businesses,industry,character varying,YES,
backup_businesses,status,character varying,YES,
backup_businesses,user_id,uuid,YES,
backup_businesses,created_at,timestamp with time zone,YES,
backup_businesses,updated_at,timestamp with time zone,YES,
backup_businesses,created_date,date,YES,
backup_businesses,contact_name,text,YES,
backup_businesses,languages_spoken,ARRAY,YES,
backup_businesses,social_links,jsonb,YES,
backup_businesses,suburb,text,YES,
backup_businesses,city,text,YES,
backup_businesses,state_region,text,YES,
backup_businesses,postal_code,text,YES,
backup_businesses,business_hours,text,YES,
backup_businesses,banner_url,text,YES,
backup_businesses,cultural_identity,text,YES,
backup_businesses,claimed,boolean,YES,
backup_businesses,claimed_at,timestamp with time zone,YES,
backup_businesses,claimed_by,text,YES,
backup_businesses,business_handle,text,YES,
backup_businesses,verified,boolean,YES,
backup_businesses,owner_user_id,uuid,YES,
backup_businesses,proof_links,ARRAY,YES,
backup_businesses,homepage_featured,boolean,YES,
backup_businesses,visibility_tier,text,YES,
backup_businesses,business_structure,text,YES,
backup_businesses,annual_revenue_exact,integer,YES,
backup_businesses,full_time_employees,integer,YES,
backup_businesses,part_time_employees,integer,YES,
backup_businesses,primary_market,text,YES,
backup_businesses,growth_stage,text,YES,
backup_businesses,funding_source,text,YES,
backup_businesses,business_challenges,ARRAY,YES,
backup_businesses,future_plans,text,YES,
backup_businesses,tech_stack,ARRAY,YES,
backup_businesses,customer_segments,ARRAY,YES,
backup_businesses,competitive_advantage,text,YES,
backup_businesses,year_started,integer,YES,
backup_businesses,created_by,uuid,YES,
backup_businesses,source,text,YES,
backup_businesses,profile_completeness,numeric,YES,
backup_businesses,referral_code,text,YES,
backup_businesses,subscription_tier,character varying,YES,
backup_businesses,business_operating_status,text,YES,
backup_businesses,business_age,text,YES,
backup_businesses,business_registered,boolean,YES,
backup_businesses,sales_channels,jsonb,YES,
backup_businesses,import_export_status,text,YES,
backup_businesses,team_size_band,text,YES,
backup_businesses,revenue_band,text,YES,
backup_businesses,business_owner,text,YES,
backup_businesses,business_owner_email,text,YES,
backup_businesses,additional_owner_emails,ARRAY,YES,
backup_businesses,public_phone,text,YES,
backup_profiles,id,uuid,YES,
backup_profiles,display_name,text,YES,
backup_profiles,email,text,YES,
backup_profiles,country,text,YES,
backup_profiles,created_at,timestamp with time zone,YES,
backup_profiles,updated_at,timestamp with time zone,YES,
backup_profiles,primary_cultural,text,YES,
backup_profiles,education_level,text,YES,
backup_profiles,professional_background,ARRAY,YES,
backup_profiles,business_networks,ARRAY,YES,
backup_profiles,mentorship_availability,boolean,YES,
backup_profiles,investment_interest,text,YES,
backup_profiles,community_involvement,ARRAY,YES,
backup_profiles,skills_expertise,ARRAY,YES,
backup_profiles,business_goals,text,YES,
backup_profiles,challenges_faced,ARRAY,YES,
backup_profiles,success_factors,ARRAY,YES,
backup_profiles,preferred_collaboration,ARRAY,YES,
backup_profiles,role,USER-DEFINED,YES,
backup_profiles,years_operating,integer,YES,
backup_profiles,business_role,text,YES,
backup_profiles,city,text,YES,
backup_profiles,languages,ARRAY,YES,
backup_profiles,market_region,text,YES,
backup_profiles,pending_business_id,uuid,YES,
backup_profiles,pending_business_name,text,YES,
backup_profiles,invited_by,uuid,YES,
backup_profiles,invited_date,timestamp with time zone,YES,
backup_profiles,status,text,YES,
backup_profiles,gdpr_consent,boolean,YES,
backup_profiles,gdpr_consent_date,timestamp with time zone,YES,
backup_profiles,cultural_tags,ARRAY,YES,
business_images,id,uuid,NO,gen_random_uuid()
business_images,business_id,uuid,NO,
business_images,url,text,NO,
business_images,caption,text,YES,
business_images,sort_order,integer,YES,0
business_images,created_at,timestamp with time zone,YES,now()
business_insights,id,uuid,NO,gen_random_uuid()
business_insights,business_id,uuid,NO,
business_insights,user_id,uuid,NO,
business_insights,snapshot_year,integer,NO,
business_insights,submitted_date,timestamp with time zone,YES,now()
business_insights,created_at,timestamp with time zone,YES,now()
business_insights,updated_at,timestamp with time zone,YES,now()
business_insights,year_started,integer,YES,
business_insights,problem_solved,text,YES,
business_insights,business_model,text,YES,
business_insights,family_involvement,boolean,YES,
business_insights,customer_region,text,YES,
business_insights,sales_channels,jsonb,YES,
business_insights,import_export_status,text,YES,
business_insights,import_countries,jsonb,YES,
business_insights,export_countries,jsonb,YES,
business_insights,business_stage,text,YES,
business_insights,top_challenges_array,jsonb,YES,
business_insights,is_business_registered,boolean,YES,
business_insights,team_size,text,YES,
business_insights,revenue_streams,ARRAY,YES,
business_insights,financial_challenges,text,YES,
business_insights,private_business_phone,text,YES,
business_insights,private_business_email,text,YES,
businesses,id,uuid,NO,gen_random_uuid()
businesses,name,character varying,NO,
businesses,description,text,YES,
businesses,logo_url,text,YES,
businesses,contact_website,text,YES,
businesses,contact_email,character varying,YES,
businesses,contact_phone,character varying,YES,
businesses,address,text,YES,
businesses,country,character varying,YES,
businesses,industry,character varying,YES,
businesses,status,character varying,YES,'pending'::character varying
businesses,user_id,uuid,YES,
businesses,created_at,timestamp with time zone,YES,now()
businesses,updated_at,timestamp with time zone,YES,now()
businesses,created_date,date,YES,CURRENT_DATE
businesses,contact_name,text,YES,
businesses,languages_spoken,ARRAY,YES,
